MUNI_ID|MUNI_NOMBRE|DEPA_NOMBRE|PUNTAJE_PROMEDIO|ERRORESTANDARPROMEDIO|DESVIACION|PORCENTAJE_INSUFICIENTE|PORCENTAJE_MINIMO|PORCENTAJE_SATISFACTORIO|PORCENTAJE_AVANZADO|N
54874|Villa del Rosario|Norte De Santander|302|0,306|61|39|32|17|12|1535
86885|Villagarzón|Putumayo|293|0,408|58|45|30|15|10|530
25871|Villagómez|Cundinamarca|315|1,224|73|29|46|11|14|35
73870|Villahermosa|Tolima|305|0,714|54|35|37|18|10|139
17873|Villamaría|Caldas|307|0,459|58|34|36|20|11|719
13873|Villanueva|Bolívar|259|0,612|54|69|22|6|3|428
44874|Villanueva|La Guajira|287|0,612|55|47|32|14|7|498
68872|Villanueva|Santander|337|0,663|69|19|38|20|24|101
85440|Villanueva|Casanare|311|0,306|66|32|34|22|12|622
25873|Villapinzón|Cundinamarca|328|0,765|59|25|33|20|22|166
73873|Villarrica|Tolima|305|1,071|66|39|33|17|11|108
50001|Villavicencio|Meta|320|0,153|64|30|31|21|19|8629
41872|Villavieja|Huila|268|2,449|55|61|27|10|2|101
25875|Villeta|Cundinamarca|301|0,561|59|39|33|19|10|460
25878|Viotá|Cundinamarca|280|0,663|56|48|37|11|4|227
15879|Viracachá|Boyacá|321|2,092|65|29|28|22|22|51
50711|Vista Hermosa|Meta|291|0,765|59|47|31|14|8|406
17877|Viterbo|Caldas|302|0,51|53|37|36|20|6|179
68861|Vélez|Santander|305|0,561|63|36|35|16|13|385
25885|Yacopí|Cundinamarca|314|1,327|62|29|37|22|12|185
52885|Yacuanquer|Nariño|289|2,806|58|46|31|14|9|164
41885|Yaguará|Huila|287|0,816|61|50|27|13|10|141
05885|Yalí|Antioquia|298|1,684|55|35|41|17|7|100
05887|Yarumal|Antioquia|312|0,918|66|32|33|20|15|748
97889|Yavaraté|Vaupés|235|2,755|51|84|11|5|0|19
05890|Yolombó|Antioquia|278|0,714|58|58|25|10|7|382
05893|Yondó|Antioquia|276|0,612|57|57|26|12|6|364
85001|Yopal|Casanare|308|0,204|62|36|32|18|13|2979
76890|Yotoco|Valle Del Cauca|304|1,02|62|38|33|14|15|244
76892|Yumbo|Valle Del Cauca|280|0,306|54|53|30|12|5|1547
13894|Zambrano|Bolívar|257|0,561|49|73|17|8|3|200
68895|Zapatoca|Santander|303|0,816|62|38|34|16|12|181
47960|Zapayán|Magdalena|274|0,51|53|56|30|11|3|207
05895|Zaragoza|Antioquia|261|0,51|51|67|24|7|2|681
76895|Zarzal|Valle Del Cauca|289|0,357|58|48|30|12|10|606
15897|Zetaquira|Boyacá|303|1,99|61|39|30|19|12|93
