COD_DANE|EVALUADOS|PARTICIPANTES|COPIA|PESO|PROMEDIO|ERROR_ESTANDAR|DESVIACION|INSUFICIENTE|MINIMO|SATISFACTORIO|AVANZADO
368276001661|3|3|0|3|386|0|49|0|33|0|67
368276001822|59|59|0|59|370|0|63|9|22|36|34
268324000260|28|28|0|28|350|0|57|14|29|29|29
368276002039|14|14|0|14|364|4,13265|60|7|14|43|36
268255000058|21|21|0|21|292|3,52041|63|43|33|14|10
268615000895|19|19|0|19|286|0|65|53|11|37|0
268500000255|47|47|1|47|345|2,34694|57|9|40|30|21
168502000126|23|23|0|22|327|0|76|27|32|18|23
368547001653|48|48|0|47|347|1,37755|66|11|40|21|28
268406000594|19|19|0|19|282|5,86735|55|47|37|16|0
368615800004|6|6|0|6|365|0|101|33|0|33|33
368406000971|50|50|0|50|326|0|72|28|26|28|18
268524000094|26|26|0|25|332|1,83673|74|16|48|16|20
168655000192|355|355|1|347|271|0,71429|54|62|26|7|5
368406000998|18|18|0|18|333|0|74|33|11|28|28
368547002153|18|18|0|16|359|0|58|13|13|50|25
468547001453|12|12|0|12|396|0|69|8|8|25|58
468547001915|2|2|0|1|440|0|0|0|0|0|100
