ID_SEDE|CODIGO_DANE_SEDE|JORNADA|EVALUADOS|PARTICIPANTES|COPIA|INSUFICIENTE|MINIMO|SATISFACTORIO|AVANZADO
114824|217541000339|C|3|3|0|0|0|1|2
114825|217541000355|C|6|6|0|0|0|3|3
114828|217541000410|C|4|4|0|0|0|4|0
114829|217541000428|C|3|3|0|1|1|1|0
114830|217541000436|C|2|2|0|0|0|0|2
114831|217541000461|C|4|4|0|0|0|3|1
114832|217541000479|C|1|1|0|0|1|0|0
114835|217541000517|C|4|4|0|0|2|1|1
114837|217541000541|C|5|5|0|0|3|1|1
114839|217541000690|C|3|3|0|0|3|0|0
114840|217541000711|C|2|2|0|0|1|1|0
114843|217541000746|C|2|2|0|0|0|2|0
114846|217541000797|C|3|3|0|0|3|0|0
114853|217541001033|C|6|6|0|0|4|1|1
114855|217541001050|C|3|3|0|0|1|1|1
114857|217541001092|C|2|2|0|0|1|1|0
114865|217541001581|C|1|1|0|0|1|0|0
114871|217541001670|C|1|1|0|0|0|1|0
114873|217614000014|M|6|6|0|0|2|2|2
114874|217614000022|C|4|4|0|0|2|2|0
114875|217614000031|C|1|1|0|0|0|1|0
114877|217614000065|C|1|1|0|0|1|0|0
114878|217614000073|C|4|4|0|1|2|0|0
114879|217614000103|M|10|10|0|1|3|4|2
114880|217614000111|C|5|5|0|2|1|2|0
114881|217614000120|M|2|2|0|0|1|1|0
114882|217614000138|M|13|13|1|0|0|7|6
114883|217614000146|M|35|35|1|0|6|20|9
114884|217614000154|C|3|3|0|0|0|2|1
114885|217614000162|M|8|8|0|1|4|3|0
114886|217614000171|M|5|5|0|0|1|4|0
114887|217614000189|C|5|5|0|1|1|2|1
114888|217614000201|M|21|21|0|1|17|3|0
114889|217614000219|C|6|6|0|0|2|4|0
114890|217614000235|C|2|2|0|0|2|0|0
114891|217614000243|C|4|4|0|0|2|2|0
114892|217614000251|C|1|1|0|0|0|1|0
114893|217614000260|M|2|2|0|0|1|0|1
114894|217614000278|C|3|3|0|0|0|2|1
114895|217614000286|M|19|19|0|4|12|3|0
114896|217614000308|C|1|1|0|0|0|1|0
114897|217614000316|C|10|10|0|3|5|1|1
114898|217614000324|C|2|2|0|0|1|1|0
114899|217614000332|C|2|2|0|0|0|1|1
114900|217614000341|M|2|2|0|0|0|2|0
114901|217614000375|M|12|12|1|0|2|6|4
114902|217614000383|M|4|4|0|1|1|1|1
114903|217614000391|C|6|6|0|1|3|2|0
114904|217614000405|M|3|3|0|0|1|2|0
114905|217614000413|C|2|2|0|0|1|1|0
114906|217614000421|M|16|16|0|1|6|8|1
114907|217614000430|M|6|6|0|1|2|1|2
114908|217614000448|C|1|1|0|0|0|0|1
114909|217614000472|C|2|2|0|0|0|2|0
114910|217614000481|C|2|2|0|1|0|0|0
114911|217614000499|C|2|2|0|0|1|1|0
114912|217614000502|M|4|4|0|0|0|2|2
114913|217614000511|C|3|3|0|0|2|1|0
114914|217614000529|M|1|1|0|0|0|1|0
114915|217614000545|M|8|8|0|0|2|5|1
114916|217614000553|C|1|1|0|0|1|0|0
114917|217614000561|M|6|6|0|0|3|2|1
114918|217614000570|C|10|10|0|1|9|0|0
114920|217614000618|C|5|5|0|0|4|1|0
114921|217614000634|M|36|36|0|8|21|6|1
114922|217614000766|M|10|10|0|1|5|3|1
114923|217614000782|M|40|40|0|4|9|15|12
114924|217614000791|C|2|2|0|0|1|1|0
114925|217614000804|C|2|2|0|0|2|0|0
114926|217614000821|C|26|26|1|2|22|2|0
114927|217614000863|C|6|6|0|1|4|1|0
114928|217614000944|C|2|2|0|0|1|1|0
114929|217614000952|C|3|3|0|0|0|2|1
114930|217614000995|C|2|2|0|1|1|0|0
114932|217614001061|M|2|2|0|0|0|2|0
114933|217614001100|C|2|2|0|0|1|1|0
114934|217614001134|C|3|3|1|0|2|1|0
114935|217614001142|M|6|6|0|0|5|1|0
114936|217614001151|C|3|3|0|1|1|1|0
114937|217614001169|C|1|1|0|0|0|0|1
114938|217614001193|C|3|3|0|0|3|0|0
114939|217614001207|M|4|4|0|0|3|1|0
114940|217614001231|M|6|6|0|0|4|2|0
114941|217614001240|C|4|4|0|1|3|0|0
114942|217614001258|C|2|2|0|1|1|0|0
114943|217614001266|C|4|4|0|0|0|2|2
114944|217614001282|C|3|3|0|0|0|1|2
114945|217614001312|M|6|6|0|0|5|1|0
114946|217614001401|M|2|2|0|1|1|0|0
114948|217616000020|C|2|2|0|0|0|2|0
114949|217616000038|C|4|4|0|1|1|2|0
114950|217616000046|C|3|3|0|1|1|1|0
114952|217616000071|C|4|4|0|0|1|0|3
114953|217616000089|C|2|2|0|0|1|1|0
114955|217616000101|C|5|5|0|0|1|3|1
114956|217616000119|C|4|4|0|0|3|0|1
114957|217616000127|C|13|13|0|4|7|1|0
114958|217616000143|C|2|2|0|1|0|1|0
114960|217616000160|C|2|2|0|0|0|0|2
114961|217616000186|C|1|1|0|0|0|1|0
114962|217616000224|C|1|1|0|0|1|0|0
114963|217616000232|C|1|1|0|0|0|1|0
114964|217616000241|C|2|2|0|0|0|2|0
114965|217616000267|C|3|3|0|1|0|2|0
114966|217616000313|C|8|8|0|0|5|3|0
114967|217616000321|C|6|6|0|0|4|2|0
114972|217616000453|C|1|1|0|0|0|0|1
114973|217616000488|C|4|4|0|0|1|3|0
114974|217616000500|C|3|3|0|0|1|2|0
114975|217616000518|C|2|2|0|1|1|0|0
114976|217616000569|C|6|6|0|0|5|1|0
114977|217616000593|C|5|5|0|1|2|2|0
114978|217616000607|C|1|1|0|0|1|0|0
114979|217616000640|C|3|3|0|0|2|1|0
114980|217616000674|C|2|2|0|0|2|0|0
114981|217616000682|C|3|3|0|0|2|1|0
114982|217653000021|C|2|2|0|0|0|1|1
114985|217653000099|C|1|1|0|0|0|1|0
