ID_SEDE|CODIGO_DANE_SEDE|JORNADA|EVALUADOS|PARTICIPANTES|COPIA|INSUFICIENTE|MINIMO|SATISFACTORIO|AVANZADO
130499|263130000429|M|2|2|0|0|2|0|0
130504|263130000496|M|2|2|0|0|1|1|0
130505|263130000518|U|12|12|0|7|3|0|2
130507|263130000568|M|2|2|0|0|2|0|0
130508|263130000569|U|32|32|0|22|6|3|1
130512|263130000771|U|19|19|1|4|7|5|1
130514|263130000836|M|1|1|0|0|0|0|1
130516|263190000029|M|8|8|0|3|1|4|0
130517|263190000053|M|2|2|0|0|2|0|0
130518|263190000061|M|2|2|0|0|2|0|0
130520|263190000096|M|5|5|0|1|1|2|1
130521|263190000100|M|2|2|0|1|1|0|0
130522|263190000126|M|1|1|0|0|0|0|1
130524|263190000142|M|3|3|0|0|1|1|1
130525|263190000169|M|1|1|0|0|0|0|1
130526|263190000177|M|12|12|0|2|5|1|3
130528|263190000185|M|4|4|0|0|0|2|2
130529|263190000193|M|3|3|0|0|2|0|1
130530|263190000207|M|5|5|0|0|2|1|2
130531|263190000215|M|3|3|0|0|0|2|0
130532|263190000223|M|2|2|0|1|1|0|0
130533|263190000231|M|7|7|0|5|2|0|0
130534|263190000240|M|2|2|0|0|0|0|2
130535|263190000258|M|1|1|0|0|0|1|0
130536|263190000339|M|1|1|0|0|1|0|0
130537|263190000347|M|3|3|0|1|1|1|0
130551|263272000027|M|1|1|0|0|0|0|1
130552|263272000035|M|3|3|0|0|0|1|2
130553|263272000043|M|3|3|0|3|0|0|0
130554|263272000051|M|2|2|0|1|1|0|0
130555|263272000060|M|1|1|0|0|0|1|0
130557|263272000086|M|1|1|0|1|0|0|0
130560|263272000124|M|2|2|0|0|1|1|0
130561|263272000132|M|5|5|0|2|0|2|1
130562|263272000141|M|3|3|0|3|0|0|0
130563|263272000167|M|1|1|0|1|0|0|0
130564|263272000175|M|3|3|0|1|1|1|0
130565|263272000191|M|5|5|0|2|2|0|1
130566|263272000205|U|11|11|0|2|2|2|0
130567|263272000213|M|6|6|0|1|0|3|2
130568|263272000221|M|2|2|0|2|0|0|0
130569|263272000230|M|3|3|0|1|0|1|1
130570|263272000302|M|4|4|0|2|1|0|0
130571|263272000345|M|1|1|0|0|1|0|0
130572|263272000361|M|2|2|0|0|0|1|0
130573|263272000396|M|1|1|0|0|1|0|0
130574|263302000019|M|3|3|0|2|0|0|0
130575|263302000027|M|4|4|0|0|2|2|0
130577|263302000043|M|1|1|0|1|0|0|0
130578|263302000051|M|1|1|0|0|1|0|0
130579|263302000060|M|1|1|0|0|0|1|0
130580|263302000078|M|1|1|0|0|1|0|0
130581|263302000094|M|3|3|0|1|0|0|2
130583|263302000124|M|1|1|0|0|1|0|0
130584|263302000132|M|1|1|0|1|0|0|0
130585|263302000175|M|3|3|0|1|2|0|0
130586|263302000183|M|2|2|0|0|1|0|1
130587|263302000191|M|1|1|0|1|0|0|0
130588|263302000205|M|1|1|0|0|1|0|0
130589|263302000248|M|2|2|0|0|2|0|0
130590|263302000264|M|5|5|0|2|2|1|0
130591|263302000272|M|3|3|0|1|2|0|0
130594|263302000361|M|1|1|0|0|1|0|0
130595|263302000515|M|1|1|0|0|1|0|0
130596|263302000540|M|3|3|0|0|3|0|0
130597|263302000574|M|2|2|0|1|1|0|0
130598|263302000604|M|4|4|0|1|0|1|2
